epoch,qwk,accuracy,macro_f1,sdr,retention,ur_acc,ece,val_loss,train_loss,grad_norm,L_CE,L_EDL,L_KL,L_ord,L_cont,L_bound,lr_backbone,lr_head
0,0.3969912244045133,0.38461538461538464,0.2899159663865546,0.3,1.0,0.38461538461538464,0.27660688757896423,0.0,1.3850640157858531,1.2359,1.3850640157858531,0.0,0.0,0.0,0.0,0.0,2e-05,5e-05
1,0.21879815100154076,0.4358974358974359,0.39003709591944885,0.1,1.0,0.4358974358974359,0.31935203075408936,0.0,1.347795267899831,1.2228,1.347795267899831,0.0,0.0,0.0,0.0,0.0,4e-05,0.0001
2,0.5127175368139223,0.48717948717948717,0.44642857142857145,0.3,1.0,0.48717948717948717,0.36085325479507446,0.0,1.3248867491881053,1.4484,1.3248867491881053,0.0,0.0,0.0,0.0,0.0,6e-05,0.00015
3,0.2622741764080765,0.41025641025641024,0.3521681021681022,0.2,1.0,0.41025641025641024,0.26491983311298567,0.0,1.297753244638443,1.8833,1.297753244638443,0.0,0.0,0.0,0.0,0.0,8e-05,0.0002
4,0.3398663697104677,0.38461538461538464,0.35555555555555557,0.2,1.0,0.38461538461538464,0.2293234903078813,0.0,1.2692921956380208,2.3147,1.2692921956380208,0.0,0.0,0.0,0.0,0.0,0.0001,0.00025
5,0.3977152528030464,0.41025641025641024,0.3682340647857889,0.5,1.0,0.41025641025641024,0.24466516650640047,0.0,1.2622061769167583,2.5458,1.2622061769167583,0.0,0.0,0.0,0.0,0.0,0.00012,0.0003
6,0.6032104906172281,0.5897435897435898,0.5722082868821999,0.6,1.0,0.5897435897435898,0.43701205803797794,0.0,1.2501678417126338,2.7809,1.2501678417126338,0.0,0.0,0.0,0.0,0.0,0.00014,0.00035
7,0.42492211838006233,0.48717948717948717,0.43399470899470904,0.5,1.0,0.48717948717948717,0.30770309231220144,0.0,1.1750683238108952,3.4713,1.1750683238108952,0.0,0.0,0.0,0.0,0.0,0.00016,0.0004
8,0.3062768350030667,0.41025641025641024,0.360968660968661,0.5,1.0,0.41025641025641024,0.23294782027220115,0.0,1.2455189923445384,3.7301,1.2455189923445384,0.0,0.0,0.0,0.0,0.0,0.00018,0.00045000000000000004
9,0.29550717924965253,0.4358974358974359,0.40152200740436034,0.2,1.0,0.4358974358974359,0.2882479108296908,0.0,1.2935299277305603,3.0533,1.2935299277305603,0.0,0.0,0.0,0.0,0.0,0.0002,0.0005
10,0.2806122448979592,0.41025641025641024,0.3528040586864116,0.3,1.0,0.41025641025641024,0.2343326287391858,0.0,1.2527109682559967,2.8644,1.2527109682559967,0.0,0.0,0.0,0.0,0.0,0.00019993938728840005,0.0004998480113412644
11,0.5139664804469274,0.46153846153846156,0.4157314505140592,0.4,1.0,0.46153846153846156,0.3064864690487201,0.0,1.2758229772249858,3.7983,1.2758229772249858,0.0,0.0,0.0,0.0,0.0,0.00019975762300085252,0.0004993922305398261
12,0.43243243243243257,0.4358974358974359,0.3638680659670165,0.5,1.0,0.4358974358974359,0.2752850774006966,0.0,1.217883641521136,3.7393,1.217883641521136,0.0,0.0,0.0,0.0,0.0,0.00019945492858914322,0.0004986332128943842
13,0.5602094240837696,0.5128205128205128,0.4347914154810707,0.7,1.0,0.5128205128205128,0.3340134834631895,0.0,1.2153379519780476,4.1104,1.2153379519780476,0.0,0.0,0.0,0.0,0.0,0.00019903167283978629,0.0004975718831510218
14,0.42265608238575414,0.38461538461538464,0.33142857142857146,0.4,1.0,0.38461538461538464,0.20403001514764932,0.0,1.1179940948883693,4.3481,1.1179940948883693,0.0,0.0,0.0,0.0,0.0,0.00019848837142471474,0.0004962095343765459
15,0.6859630032644178,0.5128205128205128,0.47014257294429707,0.8,1.0,0.5128205128205128,0.34507866471241677,0.0,1.0728838294744492,5.0867,1.0728838294744492,0.0,0.0,0.0,0.0,0.0,0.0001978256862730137,0.0004945478263830845
16,0.21983914209115285,0.358974358974359,0.32120334620334623,0.8,1.0,0.358974358974359,0.1831053594748179,0.0,1.112498586376508,6.3087,1.112498586376508,0.0,0.0,0.0,0.0,0.0,0.00019704442476446167,0.000492588783705861
17,0.5144467935165609,0.4358974358974359,0.3899270234409553,0.3,1.0,0.4358974358974359,0.24896671527471295,0.0,1.24061415096124,inf,1.24061415096124,0.0,0.0,0.0,0.0,0.0,0.00019614553874586278,0.0004903347931366106
