epoch,qwk,accuracy,macro_f1,sdr,retention,ur_acc,ece,val_loss,train_loss,L_CE,L_EDL,L_KL,L_ord,L_cont,L_bound,lr_backbone,lr_head
0,0.20938628158844774,0.4358974358974359,0.37267904509283817,0.0,1.0,0.4358974358974359,0.32480382919311523,0.0,1.3764241536458333,1.3764241536458333,0.0,0.0,0.0,0.0,0.0,2e-05,5e-05
1,0.22443181818181823,0.3333333333333333,0.265625,0.0,1.0,0.3333333333333333,0.21497896313667297,0.0,1.3448079526424408,1.3448079526424408,0.0,0.0,0.0,0.0,0.0,4e-05,0.0001
2,0.24668373283686296,0.358974358974359,0.2843496963562753,0.1,1.0,0.358974358974359,0.22177132964134216,0.0,1.3033888240655263,1.3033888240655263,0.0,0.0,0.0,0.0,0.0,6e-05,0.00015
3,0.3070362473347549,0.358974358974359,0.30515060656189685,0.1,1.0,0.358974358974359,0.20834739850117612,0.0,1.2883131106694539,1.2883131106694539,0.0,0.0,0.0,0.0,0.0,8e-05,0.0002
4,0.4805227444081427,0.38461538461538464,0.36247086247086246,0.2,1.0,0.38461538461538464,0.2219684674189641,0.0,1.1983515322208405,1.1983515322208405,0.0,0.0,0.0,0.0,0.0,0.0001,0.00025
5,0.44000000000000006,0.4358974358974359,0.4056166056166056,0.2,1.0,0.4358974358974359,0.27472225519327015,0.0,1.2322692821423213,1.2322692821423213,0.0,0.0,0.0,0.0,0.0,0.00012,0.0003
6,0.31910766246362754,0.4358974358974359,0.4237938596491228,0.4,1.0,0.4358974358974359,0.27950297410671526,0.0,1.2639719545841217,1.2639719545841217,0.0,0.0,0.0,0.0,0.0,0.00014,0.00035
7,0.42804766269477545,0.4358974358974359,0.40148448043184887,0.4,1.0,0.4358974358974359,0.26942496078136635,0.0,1.2232352296511333,1.2232352296511333,0.0,0.0,0.0,0.0,0.0,0.00016,0.0004
8,0.30016313213703105,0.38461538461538464,0.3371577079107505,0.0,1.0,0.38461538461538464,0.21370863532408693,0.0,1.2032627413670223,1.2032627413670223,0.0,0.0,0.0,0.0,0.0,0.00018,0.00045000000000000004
9,0.653252222742162,0.5384615384615384,0.5203996486605182,0.5,1.0,0.5384615384615384,0.3667866205557799,0.0,1.2272389779488246,1.2272389779488246,0.0,0.0,0.0,0.0,0.0,0.0002,0.0005
10,0.32644125516905864,0.41025641025641024,0.41040100250626566,0.4,1.0,0.41025641025641024,0.2563926577568054,0.0,1.2445339659849803,1.2445339659849803,0.0,0.0,0.0,0.0,0.0,0.00019993938728840005,0.0004998480113412644
11,0.30941286113699906,0.41025641025641024,0.3697557471264368,0.1,1.0,0.41025641025641024,0.21626700728367537,0.0,1.225780059893926,1.225780059893926,0.0,0.0,0.0,0.0,0.0,0.00019975762300085252,0.0004993922305398261
12,0.3835051546391751,0.4358974358974359,0.40450513538748833,0.2,1.0,0.4358974358974359,0.2719348019514328,0.0,1.222215433915456,1.222215433915456,0.0,0.0,0.0,0.0,0.0,0.00019945492858914322,0.0004986332128943842
13,0.2989411475006156,0.41025641025641024,0.3678571428571429,0.1,1.0,0.41025641025641024,0.21342067420482635,0.0,1.161790629227956,1.161790629227956,0.0,0.0,0.0,0.0,0.0,0.00019903167283978629,0.0004975718831510218
14,0.4231870229007634,0.4358974358974359,0.4065656565656566,0.5,1.0,0.4358974358974359,0.2740161919440979,0.0,1.1938025057315826,1.1938025057315826,0.0,0.0,0.0,0.0,0.0,0.00019848837142471474,0.0004962095343765459
15,0.5266286846668318,0.48717948717948717,0.45692640692640696,0.4,1.0,0.48717948717948717,0.3118851811457903,0.0,1.1487359007199605,1.1487359007199605,0.0,0.0,0.0,0.0,0.0,0.0001978256862730137,0.0004945478263830845
16,0.53276955602537,0.4358974358974359,0.42340686274509803,0.6,1.0,0.4358974358974359,0.2530695486527223,0.0,1.1354976147413254,1.1354976147413254,0.0,0.0,0.0,0.0,0.0,0.00019704442476446167,0.000492588783705861
17,0.4344673731176799,0.5384615384615384,0.5007041013906002,0.1,1.0,0.5384615384615384,0.3255675427424602,0.0,0.9873991012573242,0.9873991012573242,0.0,0.0,0.0,0.0,0.0,0.00019614553874586278,0.0004903347931366106
18,0.37332619175147297,0.46153846153846156,0.45950554134697363,0.3,1.0,0.46153846153846156,0.2667212448058984,0.0,1.1372682849566143,1.1372682849566143,0.0,0.0,0.0,0.0,0.0,0.00019513012337136785,0.00048778860081564085
